total_sqft,bath,location,price,size
1800,3,Ayyappa Nagar,9500000,4
1900,3,Budigere Cross,6900000,5
890,3,Prime living,5700000,2
1040,3,A N SWAGATH,4490000,2
3200,3,Srinivasa Nagar,25500000,5
1032,3,Bommasandra Industrial Area,4900000,2
2200,4,Ullal Uppanagar,12500000,3
1024,3,Basavanagudi,25000000,4
3000,4,Veeranjinappa Layout,12000000,6
966,3,Nelamangala,4800000,2
2700,4,Chandra Layout,25000000,4
1400,3,Oil Mill Road,32500000,10
1204,3,Hoskote,4500000,3
1040,3,Immadihalli,5500000,2
2400,4,Cleveland Town,13000000,4
2100,4,Manganahalli,6800000,1
1040,3,Prakruthi Nagar,4900000,2
883,3,Kambipura,5320000,2
1052,3,LEGACY DAVIS,9000000,2
880,3,Brigade,7500000,2
1205,3,Mayur daffodiles,4400000,2
5600,5,Eastwood Township,25000000,10
5200,5,Udayanagar Extension,24000000,9
1015,3,Volagerekallahalli,5000000,2
835,3,Terracon Doctors Enclave,3354999,2
1080,3,Lake City,5800000,2
1075,3,Reliaable Tranquil Layout,6000000,2
420,2,Thattanahalli,2400000,1
1170,3,CQAL Layout,9500000,2
1395,3,Kammasandra,6300000,3
9800,5,Saraswathi Nagar,150000000,5
3200,4,Manpho Greens layout,13500000,5
1208,3,RR Nagar,7800000,2
1215,3,Anantapura,6000000,2
1200,3,Vishwapriya Nagar,5100000,2
1600,3,Bella Vista,7550000,3
1030,3,Sadanandanagar,7700000,2
1232,3,Purva Palm Beach,10100000,2
1625,3,Mathikere Extension,13500000,3
1192,3,Manorayanapalya,7200000,2
1265,3,Kereguddadahalli,5000000,3
3600,4,Jinke Thimmanahalli,18000000,7
1267,3,Bilappa Garden,17500000,1
1044,3,Maruthi Extension,4500000,2
7000,2,koramanlaga,65400000,1
1000,3,Laripalya,5600000,2
1252,3,Electronic City Phase II,7500000,3
3900,4,Banashankari Stage II,54500000,5
1010,3,Devasthanagalu,5500000,2
1287,3,Tindlu,7000000,2
1030,3,Ushodaya Pallavi Apartment,5500000,2
1616,3,Byatarayanapura,5800000,3
405,2,Anjanapura 9th Block,2000000,1
750,2,SR FLORA,3600000,1
980,3,Royale Nest,8500000,2
980,3,Kannamangala,6500000,2
4350,5,Maruthi Nagar,51000000,5
1380,3,Mico Layout,7000000,3
2400,4,Chikkabettahalli,10500000,6
1980,3,Devanahalli,12000000,4
750,2,Madanayakahalli,6000000,3
1166,3,Annapurneshwari Nagar,6500000,2
1000,3,South Avenue,3500000,2
1120,3,Ashirvad Colony,5000000,2
2162,4,Sai Golden Nest,11000000,3
1157,3,Konadasapura,8900000,2
950,3,Samrudhi Enckave hesarghatta,4300000,2
1035,3,S2 carnation,6800000,2
1475,3,Kithaganur Village,6800000,3
1220,3,Thirumalashettyhally,9300000,5
1240,3,Gattahalli,6000000,3
814,3,Nelamangala,5000000,2
1274,3,Anjanadri Layout,15500000,2
1082,3,Provident Sunworth 2,5300000,3
1277,3,Ardendale,9800000,2
3900,4,Kaggalipura,13500000,3
4000,3,8th Phase,25600000,10
1560,3,Chiranjeevi Layout,8000000,3
720,2,Bannerughatta,4500000,2
1145,3,Electronics City Phase 1,4950000,2
3800,1,9th Phase,22500000,5
2200,4,Horamavu Agara,12000000,4
1195,3,Krishnarajapura,4900000,2
1900,3,Ashwath Nagar,9100000,2
2400,4,Lazar Layout,20000000,3
1300,3,Attibele,5500000,3
1240,3,Shivadurga Millennium,8500000,3
600,2,Mariyappanapalya,11800000,4
1200,3,Vidyamanya Nagar,5800000,3
1000,3,Ramanjaneyanagar,4190000,2
1850,3,Vadarpalya,7300000,3
3300,3,Binny Pete,12000000,9
2400,4,Coconut Grove Layout,15000000,4
2000,1,Banashankari 3rd Stage,7500000,4
1030,3,M Vishveshvaraiah Nagar,4500000,2
