total_sqft,bath,location,price,size
2112.95,4,Hegde Nagar,14500000,3 BHK
600,1,Raja Rajeshwari Nagar,2200000,1 BHK
1810,3,Haralur Road,10000000,3 BHK
1200,2,Indira Nagar,9300000,2 BHK
1033,2,Harlur,4900000,2 BHK
1548,3,ITPL,8950000,3 BHK
1611,3,Horamavu Banaswadi,6600000,3 BHK
1400,2,Electronic City Phase II,4043000,3 BHK
1485,2,Vidyaranyapura,6700000,3 BHK
2400,2,Margondanahalli,8200000,2 Bedroom
1025,2,Pattandur Agrahara,4450000,2 BHK
600,3,Thurahalli,6500000,4 Bedroom
1225,2,Hallehalli,5300000,2 BHK
1256,2,5th Phase JP Nagar,6280000,2 BHK
2268,3,Whitefield,16300000,4 BHK
1100,3,Kanakpura Road,5300000,3 BHK
1141,2,Vadarpalya,6200000,2 BHK
400,1,Attibele,1200000,1 BHK
1400,2,Chandapura,6000000,2 Bedroom
4100,7,Kattigenahalli,14000000,7 BHK
5.31Acres,1,Marathi Layout,11000000,1 Bedroom
15,1,Weavers Colony,3000000,1 BHK
1175,2,Raghavendra Nagar,4827000,2 BHK
1100,2,Sahakara Nagar,5600000,2 BHK
1843,3,Kanakpura Road,9584000,3 BHK
1200,7,1st Phase JP Nagar,24000000,8 Bedroom
1460,2,Horamavu Banaswadi,8050000,2 BHK
1530,2,Rachenahalli,7450000,3 BHK
1467,2,HSR Layout,5500000,2 BHK
950,1,KR Layout,4000000,1 BHK
1246,2,Vittasandra,6450000,2 BHK
711,1,Kanakapura,3800000,1 BHK
1194,2,Haralur Road,4600000,2 BHK
1358,2,Babusapalaya,4340000,3 BHK
1500,5,Nagasandra,13000000,6 Bedroom
1420,2,Hoodi,7500000,2 BHK
1250,2,Kathriguppe,6875000,3 BHK
1280,2,Akshaya Nagar,5800000,2 BHK
1209,2,Nagappa Reddy Layout,5000000,2 BHK
4200,5,Kempapura,22500000,5 Bedroom
1215,4,BTM 1st Stage,20500000,4 Bedroom
1315,2,Panathur,5480000,3 BHK
1800,3,Kariyammana Agrahara,9000000,3 BHK
1600,4,Hessarghatta,12500000,5 Bedroom
1600,2,TC Palaya,6500000,3 BHK
3968,5,Binnamangala,90000000,6 Bedroom
1563,3,Suraksha Nagar,5200000,3 BHK
1560,2,Whitefield,7200000,3 BHK
2169,4,Brookefield,11500000,3 BHK
900,10,Lakshmi Layout,17000000,9 Bedroom
1050,2,Rachenahalli,5550000,2 BHK
3235,3,Iblur Village,23500000,3 BHK
1200,3,TC Palaya,6600000,3 Bedroom
1140,2,HSR Layout,4600000,2 BHK
1500,3,7th Phase JP Nagar,17000000,3 Bedroom
1560,3,Horamavu Agara,7500000,3 BHK
1100,2,JP Nagar,7000000,2 BHK
1260,2,Kasavanhalli,4032000,3 BHK
1036,2,Hebbal,5000000,2 BHK
1662,3,Akshaya Nagar,8510000,3 BHK
1464,2,Yelachenahalli,10500000,3 BHK
1234,2,Yelahanka,8000000,2 BHK
1403,3,Sarjapur  Road,5500000,3 BHK
915,4,Kadugondanahalli,5490000,4 Bedroom
3000,8,2nd Stage Nagarbhavi,45100000,6 Bedroom
1150,2,Seegehalli,4290000,3 BHK
3900,4,Hebbal,41000000,4 BHK
850,4,Yeshwanthpur,9000000,5 Bedroom
929,2,Kanakapura,4600000,2 BHK
2400,8,2nd Stage Nagarbhavi,45000000,6 Bedroom
1350,2,TC Palaya,7500000,3 Bedroom
1135,2,Vasanthapura,3973000,2 BHK
1405,2,Basava Nagar,7000000,2 BHK
1200,2,Whitefield,4584000,2 Bedroom
2805,4,Haralur Road,15400000,4 BHK
1161,2,Yeshwanthpur,6408000,2 BHK
1290,2,Kanakpura Road,7400000,2 BHK
2557,3,Yeshwanthpur,14100000,3 BHK
1480,3,2nd Block Hrbr Layout,9000000,3 BHK
3300,14,BTM 1st Stage,50000000,9 Bedroom
1350,3,Old Madras Road,5454000,3 BHK
1580,2,Kadugodi,6500000,3 BHK
1470,2,Banashankari,8864000,3 BHK
500,1,Ananth Nagar,1400000,1 BHK
1346,2,Sarjapur  Road,6192000,2 BHK
1600,3,Canara Bank Layout,9000000,3 BHK
720,2,Naganathapura,12000000,2 BHK
30Acres,2,Narasapura,2950000,2 Bedroom
1200,4,Manjunath Nagar,13500000,4 Bedroom
1200,2,Basapura,3500000,2 BHK
1340,2,Channasandra,4833000,3 BHK
6136,4,Devanahalli,56000000,4 Bedroom
918,2,Jigani,4800000,2 BHK
1500,3,Singena Agrahara,11500000,3 Bedroom
1315,2,Yelahanka,8500000,2 BHK
2400,5,Sector 1 HSR Layout,77500000,4 Bedroom
1390,2,Uttarahalli,6255000,3 BHK
1330,2,Uttarahalli,5600000,3 BHK
3100,4,Jalahalli,26500000,5 BHK
1824,3,Mango Garden Layout,12500000,3 BHK
1420,2,7th Phase JP Nagar,9600000,3 BHK
750,1,Kacharakanahalli,5625000,1 Bedroom
1260,2,Jalahalli East,6000000,3 BHK
1561,3,Hennur Road,9500000,3 BHK
812,6,5th Phase JP Nagar,16500000,9 Bedroom
1060,2,"Bidere Agarahara, Behind Safal market",4200000,2 BHK
1120,8,Hoodi,14500000,8 Bedroom
1225,2,Haralur Road,6738000,2 BHK
2144,3,Thanisandra,13500000,3 BHK
1200,6,Kengeri,14000000,7 Bedroom
880,2,Electronic City,2900000,2 BHK
1639,3,Hoodi,11000000,3 BHK
1240,2,Thanisandra,6200000,3 BHK
1500,2,Kanakpura Road,6900000,2 BHK
1243,2,Haralur Road,4600000,2 BHK
1575,3,Marathahalli,7800000,3 BHK
1082,2,Kambipura,5600000,3 BHK
1637,3,Konanakunte,7300000,3 BHK
1665,3,Kanakpura Road,8658000,3 BHK
1265,2,Electronic City,5693000,2 BHK
1691,2,Electronic City,10200000,3 BHK
1100,2,Thanisandra,3800000,2 BHK
24,2,Grihalakshmi Layout,15000000,5 Bedroom
1500,3,Gopalkrishna Nagar,6200000,3 Bedroom
3205,5,Hosakerehalli,38000000,4 BHK
1666,4,Kammanahalli,15000000,5 Bedroom
1115,2,Choodasandra,5000000,2 BHK
1070,2,Mysore Road,4500000,2 BHK
1128,2,Indira Nagar,10500000,2 BHK
1162,2,Budigere,5700000,2 BHK
1339,2,Sai Gardens,5500000,2 BHK
1192,2,Mahadevpura,7500000,2 BHK
1920,3,Haralur Road,11500000,3 BHK
1255,2,Hennur,5232000,2 BHK
1357,2,Rajaji Nagar,11500000,2 BHK
1600,3,Dodda Kempaiah Layout,7500000,3 BHK
1225,2,Hanumanth Nagar,5511000,2 BHK
2400,4,Whitefield,20000000,4 Bedroom
1570,3,Kasturi Nagar,8000000,3 BHK
1093,2,Thanisandra,7000000,2 BHK
1865,3,Basaveshwara Nagar,14500000,3 BHK
1200,7,R.T. Nagar,16500000,6 Bedroom
1039,2,Kaikondrahalli,8000000,2 BHK
1985,3,Whitefield,7500000,3 BHK
1590,3,Hosakerehalli,4900000,3 BHK
4000,4,Hunasamaranahalli,67500000,4 Bedroom
775,2,Electronic City Phase II,3800000,2 BHK
1000,2,RWF West Colony,5000000,2 BHK
1800,3,Hebbal Kempapura,17500000,3 BHK
1035,2,Bommasandra,4100000,2 BHK
1520,2,Dasarahalli,7500000,3 BHK
1360,2,Whitefield,9500000,2 BHK
6000,5,Bileshivale,40000000,4 Bedroom
1117,2,Kodigehaali,5600000,2 BHK
1200,4,KR Puram,12000000,4 Bedroom
1330,2,EPIP Zone,9250000,2 BHK
1937,3,Marathahalli,16000000,3 BHK
1128,2,Electronic City,6549000,2 BHK
1053,2,Neeladri Nagar,4500000,2 BHK
1198,2,Panathur,7700000,2 BHK
1152,2,Marathahalli,5600000,2 BHK
1200,6,1st Block Jayanagar,12500000,6 BHK
1625,2,Frazer Town,7500000,2 BHK
1397,3,Kundalahalli,10500000,3 BHK
1523,3,Yeshwanthpur,17000000,3 BHK
700,1,Kaggalipura,3800000,1 BHK
1170,2,Yelahanka,6250000,2 BHK
1200,2,Kanakpura Road,4200000,3 BHK
2400,3,Manayata Tech Park,17000000,3 BHK
1480,2,Kullappa Colony,6500000,2 BHK
1897,3,Akshaya Nagar,12000000,3 BHK
996,2,Rachenahalli,6700000,2 BHK
1875,3,Haralur Road,11000000,3 BHK
1500,2,Williams Town,9800000,3 BHK
3095,3,Jaya Nagar East,35000000,3 BHK
1390,2,Ambalipura,17500000,3 BHK
1445 - 1455,3,Yelahanka,6525500,3 BHK
697,1,Yelahanka,4500000,1 BHK
710,1,Sarjapur  Road,2700000,1 BHK
910,2,Iggalur,3050000,2 BHK
1025,2,Sompura,4800000,3 BHK
884 - 1116,2,Magadi Road,4650000,2 BHK
1200,4,Harlur,24400000,4 Bedroom
1453,2,Horamavu Agara,4648000,3 BHK
3335,5,Sarjapur  Road,30000000,4 BHK
850 - 1093,2,Thanisandra,3643500,2 BHK
1281,2,Bellandur,7400000,2 BHK
565,1,Cooke Town,3500000,1 BHK
1024,2,Varthur,4200000,2 BHK
1620,3,Electronic City,6200000,3 BHK
1254,2,Whitefield,4000000,2 BHK
1300,2,Banashankari,7500000,3 BHK
1233,2,Doddakallasandra,4300000,2 BHK
1200,1,Chokkanahalli,2800000,1 Bedroom
1510,2,Hosur Road,10500000,3 BHK
950,2,Kaggalipura,6500000,2 BHK
1945,3,Battarahalli,9742000,3 BHK
1008,2,Uttarahalli,4500000,2 BHK
1265,2,Thanisandra,7900000,3 BHK
1255,2,Hebbal,7768000,3 BHK
2689,6,Kanakpura Road,22000000,4 BHK
1200,2,Yelenahalli,4617000,2 BHK
1403,3,Sarjapur  Road,5163000,3 BHK
1535,3,Kudlu Gate,8500000,3 BHK
1500,3,Chikkaballapur,10000000,3 Bedroom
1475,2,Chamrajpet,12000000,3 BHK
1390,2,Uttarahalli,6047000,3 BHK
1278,2,Raja Rajeshwari Nagar,5376000,3 BHK
1133,2,VGP Layout,5500000,2 BHK
1560,5,Classic Paradise Layout,14500000,5 Bedroom
2900,5,Byappanahalli,9000000,5 Bedroom
1170,2,Kogilu,5199000,2 BHK
1200,3,Sahakara Nagar,20000000,3 Bedroom
1697,3,Whitefield,9479000,3 BHK
1651,3,Thanisandra,9738000,3 BHK
1560,3,Vasanth nagar,18800000,3 BHK
1192,2,Hennur Road,6000000,3 BHK
1078,2,OMBR Layout,6500000,2 BHK
800,7,Kumaraswami Layout,10500000,7 Bedroom
1349,2,Kasavanhalli,7800000,2 BHK
2300,8,Ulsoor,21000000,9 Bedroom
1680,3,7th Phase JP Nagar,12000000,3 BHK
1314,2,Rayasandra,6300000,3 BHK
1060,2,Garudachar Palya,4870000,2 BHK
820,2,Kalyan nagar,3900000,2 BHK
5000,4,Whitefield,40000000,4 Bedroom
2000,3,BEML Layout,8500000,3 BHK
856,2,Kalkere,4000000,2 BHK
1621,4,Rajaji Nagar,13000000,3 BHK
1200,3,ITPL,6840000,3 Bedroom
1484,3,Bannerghatta Road,5250000,3 BHK
600,5,T.C. Palya,6000000,4 Bedroom
14000,3,Siddapura,80000000,4 Bedroom
500,1,Yelahanka New Town,2000000,1 BHK
485,1,Makali,1500000,1 BHK
1050,2,7th Phase JP Nagar,4200000,2 BHK
1617,3,Uttarahalli,6668000,3 BHK
550,1,Electronic City,1600000,2 BHK
1384,3,RWF West Colony,6228000,3 BHK
1408,2,Devanahalli,8500000,2 BHK
1150,2,Uttarahalli,4900000,2 BHK
1410,2,Akshaya Nagar,7500000,3 BHK
2150,4,Kaggadasapura,10000000,4 BHK
2292,4,Koramangala,27500000,3 BHK
2006,3,Malleshwaram,29700000,3 BHK
1508,3,Maragondanahalli,7025000,3 BHK
1040,2,Ramamurthy Nagar,5000000,2 BHK
1240,2,TC Palaya,6000000,2 Bedroom
1535,3,Kudlu Gate,7800000,3 BHK
1180,2,Lakshminarayana Pura,7500000,2 BHK
2200,6,Abbigere,6800000,6 Bedroom
1400,2,Bannerghatta Road,7800000,2 BHK
500,1,Raja Rajeshwari Nagar,2500000,1 BHK
4800,4,Whitefield,52500000,4 Bedroom
1984,4,Sarjapur  Road,14600000,3 BHK
3000,5,Whitefield,25000000,4 Bedroom
1960,3,Garudachar Palya,16000000,3 BHK
1035,2,Sarjapur  Road,4500000,2 BHK
2150,4,Vibuthipura,8000000,4 Bedroom
1700,3,Whitefield,11500000,3 BHK
3024,5,Hosakerehalli,24800000,4 BHK
1586,3,Tumkur Road,10000000,3 BHK
2264,,Hennur,15500000,3 Bedroom
2325,4,Chikka Tirupathi,12000000,4 Bedroom
1120,2,Yelahanka,5500000,2 BHK
1440 - 1884,,Yelahanka,6798000,3 BHK
1128,2,Sarjapur  Road,5900000,2 BHK
1200,6,5th Block Hbr Layout,25000000,6 Bedroom
924,2,Jigani,6500000,2 BHK
1600,3,Suraksha Nagar,5200000,3 BHK
1006,2,Pai Layout,3500000,2 BHK
1200,2,Amruthahalli,5500000,2 BHK
1250,2,Jalahalli West,6200000,2 BHK
1200,3,Defence Layout,13000000,3 Bedroom
957,2,Kannamangala,5600000,2 BHK
1140,2,Whitefield,4100000,2 BHK
1050,2,Roopena Agrahara,6700000,2 BHK
1565,3,Kasturi Nagar,8850000,3 BHK
1190,2,Whitefield,5700000,2 BHK
2842,3,Whitefield,16200000,3 Bedroom
1558.67,2,Kanakpura Road,6500000,3 BHK
630,1,Electronics City Phase 1,3900000,1 BHK
1403,2,Whitefield,6081000,3 BHK
1542,2,Kanakpura Road,8500000,3 BHK
2750,4,Haralur Road,22000000,4 Bedroom
3596,5,Iblur Village,29000000,4 BHK
1635,2,Kengeri Satellite Town,7800000,3 BHK
1239,2,Mysore Road,5300000,2 BHK
1596,3,Dooravani Nagar,10500000,3 BHK
1009,2,Channasandra,3834000,2 BHK
1726,3,Hosa Road,8199000,3 BHK
1535,3,Kudlu Gate,8600000,3 BHK
1300,2,Banashankari Stage V,5850000,3 BHK
3100,4,Whitefield,46500000,4 Bedroom
1800,3,Coconut Garden,8000000,3 BHK
665,1,Binny Pete,5075000,1 BHK
4050,7,Chamrajpet,120000000,9 Bedroom
1500,2,TC Palaya,10000000,3 Bedroom
925,2,Kalkere,4800000,2 BHK
3356,4,Old Airport Road,25100000,4 BHK
1395,2,Gollahalli,6359000,2 BHK
1415,2,Sonnenahalli,5500000,3 BHK
1419,2,Begur,5900000,3 BHK
1121,2,Kasavanhalli,7800000,2 BHK
1082,2,Kambipura,4500000,3 BHK
1100,2,KR Puram,4700000,2 BHK
1606,3,Hoodi,8955000,3 BHK
1650,3,Billekahalli,8800000,3 BHK
4634,4,D Souza Layout,101500000,3 BHK
1206,2,Old Airport Road,7500000,2 BHK
1495,2,Sarjapur  Road,6400000,3 BHK
840,7,Malleshwaram,19500000,8 Bedroom
710,2,Electronic City,1600000,2 BHK
1210,2,Balagere,7200000,2 BHK
1523,2,Nagarbhavi,5340000,3 BHK
1232,2,Whitefield,4500000,2 BHK
680,1,Rachenahalli,4400000,1 BHK
1355,3,Hebbal,8387000,3 BHK
1430,2,Thanisandra,5146000,3 BHK
1275,2,Kothannur,4385000,3 BHK
1070,2,Electronic City,5610000,2 BHK
1200,3,Bettahalsoor,8500000,3 Bedroom
2000,4,Electronic City,12000000,4 Bedroom
1200,2,Bommanahalli,4000000,2 BHK
1610,3,Marathahalli,9000000,3 BHK
1140,2,Haralur Road,4300000,2 BHK
1143,2,Raja Rajeshwari Nagar,3865000,2 BHK
3467.86,6,Jakkur,24900000,4 BHK
1530,2,Rachenahalli,7440000,3 BHK
980,2,7th Phase JP Nagar,6900000,2 BHK
1485,3,Whitefield,6500000,3 BHK
1500,3,Whitefield,13000000,3 Bedroom
1265,2,Thanisandra,8500000,2 BHK
1132,2,"ECC Road, Whitefield, ",6700000,2 BHK
1262,2,Ashwath Nagar,6300000,2 BHK
940,2,JP Nagar,4900000,2 BHK
1515,3,Seetharampalya,8800000,3 BHK
1300,3,Jigani,15000000,3 BHK
1840,3,Kothanur,6900000,3 Bedroom
890,2,Electronic City,4500000,2 BHK
1655,3,Rukmaiah Layout,8606000,3 BHK
2060,3,Hennur Road,14900000,3 BHK
1730,3,Bommanahalli,9600000,3 BHK
2195,4,Yelahanka,12700000,3 BHK
1650,3,Kathriguppe,12500000,3 BHK
1200,2,KR Puram,7100000,2 Bedroom
1079,2,Hosa Road,3237000,2 BHK
1085,2,Panathur,3600000,2 BHK
5000,7,Maruthi Sevanagar,29900000,7 Bedroom
1075,2,Yelahanka,5150000,2 BHK
1380,2,Devanahalli Int. Airport,8000000,2 BHK
1450,3,Puttanahalli,6500000,3 BHK
1200,2,Thubarahalli,7800000,2 BHK
3200,4,Benson Town,35000000,3 BHK
1639,3,Hoodi,9832000,3 BHK
1200,2,Jakkuru Layout,5400000,2 BHK
1739,3,Vijayanagar,11600000,3 BHK
4346,5,Palanahalli,50000000,4 Bedroom
935,2,Old Madras Road,3272000,2 BHK
1200,6,Devasandra Extension,18000000,6 Bedroom
1178,2,Nagondanahalli,4700000,2 BHK
1375,2,Chikkalasandra,5000000,3 BHK
1065,2,Chandapura,3300000,3 BHK
1450,2,2nd Phase Judicial Layout,5075000,3 BHK
999,2,BEML Layout,4500000,2 BHK
4400,3,Amruthahalli,47500000,2 BHK
1350,4,Marathahalli,13500000,5 Bedroom
1100,2,Kothannur,4000000,2 BHK
1835,2,Koramangala,15500000,3 BHK
2090,4,Hoodi,9510000,4 BHK
1519,3,Lingadheeranahalli,9300000,3 BHK
1267,3,Dommasandra,5600000,3 BHK
1150,2,Sanjay nagar,7220000,2 BHK
1146,2,Marathahalli,7000000,2 BHK
1200,7,1st Block HRBR Layout,23500000,8 Bedroom
1550,3,Kannamangala,6500000,3 BHK
850,1,Chandapura,1850000,2 BHK
2200,3,Richmond Town,18700000,3 BHK
3329,3,"Sarjapur Road, ",33000000,3 Bedroom
785,1,Electronics City Phase 1,5500000,1 BHK
2900,4,Hebbal Kempapura,30000000,3 BHK
1610,3,Raja Rajeshwari Nagar,7400000,3 BHK
921,2,Bellandur,4000000,2 BHK
850,3,Kengeri Satellite Town,9500000,3 Bedroom
2700,5,Bannerghatta Road,15800000,5 Bedroom
1700,3,Sarjapur  Road,11000000,3 BHK
1020,2,Sarjapur,3500000,2 BHK
1090,2,Billekahalli,5200000,2 BHK
3600,4,Bagalur Main Road,30000000,4 Bedroom
1185,2,Thanisandra,4210000,2 BHK
850,2,Doddathoguru,2500000,2 BHK
1197,2,Harlur,8400000,2 BHK
3500,3,Byadarahalli,45000000,4 BHK
920,2,Poorna Pragna Layout,3955000,2 BHK
716Sq. Meter,9,Chamrajpet,29600000,9 BHK
1105,2,Raja Rajeshwari Nagar,6500000,2 BHK
1850,3,Yeshwanthpur,10000000,3 BHK
1300,3,Judicial Layout,6400000,3 BHK
1595,3,"Varthur Road, ",7600000,3 BHK
3073,5,Kodihalli,69600000,4 BHK
755,2,Horamavu Agara,3749000,2 BHK
4050,5,Nagasandra,14000000,5 Bedroom
1300,2,Kanakpura Road,6900000,3 BHK
1215,2,Bannerghatta Road,5000000,2 BHK
900,2,Kanakpura Road,4600000,2 BHK
1145,2,Banashankari Stage III,5840000,2 BHK
1093,2,Chikka Banaswadi,6500000,2 BHK
1213,2,Babusapalaya,4139000,3 BHK
1654,3,Bannerghatta Road,10000000,3 BHK
1105,2,NGR Layout,5248000,2 BHK
1611,2,Babusapalaya,6600000,3 BHK
1367,2,Outer Ring Road East,6200000,2 BHK
1010,2,Devanahalli,5100000,2 BHK
750,2,Kavika Layout,7500000,3 Bedroom
1535,3,Vinayaka Nagar,9500000,3 BHK
620,2,Anekal,2200000,2 BHK
982,2,Horamavu Agara,4765000,2 BHK
1700,2,Banashankari Stage II,15000000,2 BHK
1330,2,Whitefield,7100000,2 BHK
2500,3,JP Nagar,13500000,3 Bedroom
1475,2,Poorna Pragna Layout,5899000,3 BHK
1410,3,Bhoganhalli,6500000,3 BHK
440,1,Yelahanka New Town,1650000,1 BHK
1614,3,Yelahanka,9500000,3 BHK
1363,2,Neeladri Nagar,6800000,2 BHK
650,2,Kogilu,2800000,2 Bedroom
1015,2,Dodda Kempaiah Layout,4500000,2 BHK
1156,2,Horamavu Banaswadi,4600000,2 BHK
1100,2,Hennur Busstop,6270000,2 BHK
1455,3,KR Puram,4600000,3 BHK
930,2,GB Palya,4500000,2 BHK
1650,2,AMS Layout,8000000,3 BHK
1200,2,KR Puram,9000000,2 Bedroom
700,1,9th Block Jayanagar,15000000,1 Bedroom
2900,3,Karuna Nagar,13500000,4 BHK
1890,4,Kadugodi,12700000,3 BHK
2197,4,Ashwathnagar,28000000,3 BHK
3522,3,Hebbal Kempapura,38000000,3 BHK
1240,2,Gaurava Nagar,4600000,3 BHK
1440,2,HRBR Layout,9800000,2 BHK
650,1,Kodichikkanahalli,3800000,1 BHK
764,1,Budigere,3200000,1 BHK
900,4,Sector 7 HSR Layout,9000000,5 Bedroom
1445,3,Hoodi,6500000,3 BHK
900,1,Kanakpura Road,4500000,2 BHK
1030,2,Singasandra,5500000,2 BHK
1381,2,Yelahanka,5248000,3 BHK
1100,2,Basapura,6000000,2 BHK
1575,3,Hoodi,6639000,3 BHK
1200,2,Thigalarapalya,6500000,2 Bedroom
1200,2,Begur Road,4320000,2 BHK
1080,2,Kasturi Nagar,8000000,2 BHK
2280,5,Hebbal Kempapura,20000000,5 Bedroom
1360,2,Akshaya Nagar,8500000,3 BHK
1865,3,Jakkur,12400000,3 BHK
1157,2,Sarjapur  Road,7500000,3 BHK
674,2,Kammasandra,2900000,2 BHK
1405,2,Whitefield,7800000,3 BHK
1160,2,Begur Road,4408000,2 BHK
1600,3,Kengeri Satellite Town ( BDA SITE),17200000,4 Bedroom
1790,3,Hebbal,12700000,3 BHK
1128,2,Electronic City,6565000,2 BHK
1180,2,Panathur,7000000,2 BHK
1450,2,AGS Layout,8500000,3 BHK
340,1,Kengeri,1000000,1 BHK
2000,3,Srinagar,16600000,4 Bedroom
1050,2,Rachenahalli,5350000,2 BHK
1125,2,Varthur,4000000,2 BHK
1246,2,Vittasandra,6800000,2 BHK
1372,2,HSR Layout,6100000,2 BHK
2465,5,Binny Pete,23400000,3 BHK
1300,2,Dasarahalli,5500000,2 BHK
1420,1,Brigade Road,22000000,2 Bedroom
810,4,Bannerghatta,5000000,4 Bedroom
1065,2,Channasandra,3500000,2 BHK
700,2,Hessarghatta,2700000,2 BHK
547.34 - 827.31,2,Hebbal,4272000,2 BHK
1050,2,Belathur,4500000,2 BHK
1250,3,Maruthi HBCS Layout,3950000,3 BHK
865,2,Electronic City,4200000,2 BHK
1200,2,Uttarahalli,4400000,2 BHK
1756,3,Srirampura,10000000,3 BHK
750,8,Malleshwaram,15000000,9 Bedroom
628,1,Yelahanka,2400000,1 BHK
1200,6,9th Phase JP Nagar,19500000,7 Bedroom
1207,2,5th Phase JP Nagar,6300000,2 BHK
1765,3,Kalena Agrahara,12500000,3 BHK
1130,2,Electronic City,3264000,2 BHK
1532,3,Devanahalli Road,9200000,3 BHK
1650,3,Ejipura,11000000,3 BHK
1200,4,Horamavu Banaswadi,10500000,4 Bedroom
804.1,2,Bhoganhalli,6909000,2 BHK
1200,2,Doddathoguru,7500000,2 BHK
1197,2,Kengeri,5000000,2 BHK
1200,2,Green Woods Layout,6600000,2 BHK
1385,2,Uttarahalli,4848000,3 BHK
1010,2,Craig Park Layout,14800000,2 BHK
2225,3,Whitefield,11500000,3 BHK
1180,2,Immadihalli,4800000,2 BHK
1525,2,Banagiri Nagar,12200000,3 BHK
1100,2,Ananth Nagar,3150000,2 BHK
1435,3,Hiremath Layout,7000000,3 BHK
400,1,Attibele,1400000,1 BHK
1200,2,Dommasandra,5000000,2 BHK
1272,2,Whitefield,9505000,2 BHK
1205,2,Whitefield,3900000,2 BHK
980,2,Kalena Agrahara,4000000,2 BHK
1225,2,Malleshpalya,4686000,2 BHK
1541,3,Whitefield,7200000,3 BHK
1610,2,Ramagondanahalli,11100000,3 BHK
1694,2,Jalahalli,12500000,2 BHK
600,3,Jnanabharathi Layout,7500000,3 Bedroom
950,2,Kaggalipura,3900000,2 BHK
1560,2,Muneshwara Nagar,6600000,3 BHK
1201,2,Chandapura,2700000,2 BHK
1500,2,Chandapura,6000000,2 Bedroom
1785,3,Malleshpalya,7500000,3 BHK
1258,2,Raja Rajeshwari Nagar,6353000,2 BHK
910,2,Electronic City,4200000,2 BHK
1297,2,Thigalarapalya,11200000,2 BHK
1291,2,Kundalahalli,4900000,2 BHK
1070,2,Chikkasandra,4200000,2 BHK
1012,2,Varthur,6650000,2 BHK
1260,2,Mahadevpura,5760000,2 BHK
1282,2,Sarjapur  Road,7200000,2 BHK
1843,3,Kanakpura Road,9215000,3 BHK
2400,3,Bharath Housing Society Layout,20000000,4 Bedroom
3356,5,Chikka Tirupathi,10500000,5 Bedroom
2790,5,Hebbal,19800000,4 BHK
1330,2,EPIP Zone,8698000,2 BHK
1400,2,Konanakunte,7300000,3 BHK
1192,2,Whitefield,7100000,2 BHK
1000,2,3rd Block Jayanagar,13000000,2 BHK
1297,2,Thigalarapalya,10300000,2 BHK
580 - 650,1,Sarjapur  Road,1783500,1 BHK
1490,3,Vijayanagar,10000000,3 BHK
1373,3,Rayasandra,7200000,3 BHK
1035,2,7th Phase JP Nagar,4139000,2 BHK
3750,4,Kadugodi,21000000,4 Bedroom
1010,2,Doddakallasandra,4039000,2 BHK
1195,2,Sarjapur,4200000,2 BHK
1750,3,HSR Layout,9500000,3 BHK
1052,2,Malleshpalya,5000000,2 BHK
1180,2,Horamavu Banaswadi,5800000,2 BHK
3680,4,Padmanabhanagar,44000000,5 Bedroom
2100,3,Hormavu,7300000,3 BHK
2863,4,Hoodi,14000000,4 Bedroom
1128,2,Raja Rajeshwari Nagar,3824000,2 BHK
2700,3,Ulsoor,45000000,3 BHK
1120,2,JP Nagar,3360000,2 BHK
2424,3,HSR Layout,9000000,3 BHK
1300,2,Manjunatha Layout,6000000,2 BHK
1090,2,Kanakapura,3269000,2 BHK
2710,3,Yelahanka,25100000,3 Bedroom
3040,1,Konanakunte Cross,18000000,2 Bedroom
1330,2,Uttarahalli,4655000,3 BHK
1427,2,Hosur Road,8063000,3 BHK
1294,2,Banjara Layout,4800000,3 BHK
1580,3,Begur,7500000,3 BHK
400,5,Uttarahalli,20000000,5 Bedroom
1808,4,Chikka Tirupathi,8027000,3 Bedroom
3516,4,Rajaji Nagar,54000000,4 BHK
1194,2,Parappana Agrahara,4700000,2 BHK
1310,2,Abbaiah Reddy Layout,5000000,3 BHK
3850,6,Singasandra,19500000,4 Bedroom
925,7,Kogilu,8800000,7 Bedroom
2400,1,Yelachenahalli,15000000,2 BHK
1290,2,Koramangala,10000000,2 BHK
3770,6,Yelahanka,11000000,6 Bedroom
1390,3,Lakshmi Layout,12000000,3 BHK
1200,4,Tavarekere,7200000,4 Bedroom
845,2,Bisuvanahalli,3300000,2 BHK
1537,3,Yelahanka,12000000,3 BHK
1135,2,Immadihalli,6800000,2 BHK
1512,3,Hoodi,7577000,3 BHK
900,2,Srinivasa Nagar,5500000,2 BHK
1230,3,Jigani,5400000,3 BHK
1378,2,Thirumenahalli,4233000,3 BHK
1277,2,Whitefield,6130000,2 BHK
1985,4,Hebbal,18900000,3 BHK
8000,5,Kengeri,50000000,5 Bedroom
1210,2,KPC Layout,6200000,2 BHK
890,2,Yelahanka,4000000,2 BHK
2550,9,JP Nagar,36000000,9 Bedroom
1200,5,Sarjapur,11000000,4 Bedroom
3198,4,Ardendale,20000000,4 BHK
1464,3,HOSUR MAIN ROAD,5600000,3 BHK
2483,5,Hebbal,21500000,4 BHK
1550,4,Begur,13000000,4 Bedroom
4111,4,Sarjapur  Road,31000000,4 BHK
975,2,Electronic City,3750000,2 BHK
2500,3,Nandi Durga Road,25000000,3 BHK
1690,3,Rajiv Nagar,12500000,3 BHK
1063,2,Hosa Road,3189000,2 BHK
